dataset,policy,rep,seed_split,seed_cv,seed_opt,cv_best,test_acc,evals_to_99pct,final_curve_value
diabetes,random,7,7,42,7,0.7816873250699721,0.7467532467532467,4,0.7816873250699721
diabetes,random,8,8,42,8,0.7834732773557244,0.7467532467532467,9,0.7834732773557244
diabetes,random,9,9,42,9,0.7833399973343995,0.7662337662337663,2,0.7833399973343995
diabetes,random,10,10,42,10,0.7703451952552313,0.7857142857142857,3,0.7703451952552313
diabetes,random,11,11,42,11,0.7816873250699721,0.7727272727272727,7,0.7816873250699721
diabetes,random,12,12,42,12,0.7816606690657071,0.7597402597402597,10,0.7816606690657071
diabetes,random,13,13,42,13,0.7720111955217913,0.8181818181818182,2,0.7720111955217913
diabetes,random,14,14,42,14,0.7735039317606291,0.7922077922077922,1,0.7735039317606291
diabetes,random,15,15,42,15,0.7638811142209783,0.8051948051948052,14,0.7638811142209783
diabetes,random,16,16,42,16,0.7800879648140744,0.7662337662337663,3,0.7800879648140744
diabetes,random,17,17,42,17,0.7671864587498334,0.8181818181818182,8,0.7671864587498334
diabetes,random,18,18,42,18,0.7703585232573638,0.7987012987012987,5,0.7703585232573638
diabetes,random,19,19,42,19,0.7801546048247368,0.7987012987012987,2,0.7801546048247368
diabetes,random,20,20,42,20,0.7703985072637611,0.7792207792207793,4,0.7703985072637611
diabetes,random,21,21,42,21,0.7850726376116219,0.7337662337662337,4,0.7850726376116219
diabetes,random,22,22,42,22,0.7703318672530988,0.7532467532467533,8,0.7703318672530988
diabetes,random,23,23,42,23,0.7720111955217913,0.7987012987012987,2,0.7720111955217913
diabetes,random,24,24,42,24,0.7671331467413034,0.7727272727272727,1,0.7671331467413034
diabetes,random,25,25,42,25,0.7687458349993337,0.7792207792207793,3,0.7687458349993337
diabetes,random,26,26,42,26,0.785072637611622,0.7727272727272727,5,0.785072637611622
diabetes,random,27,27,42,27,0.7769558843129414,0.7792207792207793,27,0.7769558843129414
diabetes,random,28,28,42,28,0.7736505397840864,0.7402597402597403,64,0.7736505397840864
diabetes,random,29,29,42,29,0.7768892443022791,0.7597402597402597,1,0.7768892443022791
breast-w,row_major,0,0,42,0,0.971380308880309,0.9642857142857143,6,0.971380308880309
breast-w,row_major,1,1,42,1,0.9767535392535394,0.95,7,0.9767535392535394
breast-w,row_major,2,2,42,2,0.9678088803088803,0.9571428571428572,6,0.9678088803088803
breast-w,row_major,3,3,42,3,0.9803410553410552,0.9285714285714286,7,0.9803410553410552
breast-w,row_major,4,4,42,4,0.97493564993565,0.95,6,0.97493564993565
breast-w,row_major,5,5,42,5,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,row_major,6,6,42,6,0.9695785070785071,0.9642857142857143,6,0.9695785070785071
breast-w,row_major,7,7,42,7,0.9660070785070787,0.9785714285714285,6,0.9660070785070787
breast-w,row_major,8,8,42,8,0.9713963963963964,0.9571428571428572,6,0.9713963963963964
breast-w,row_major,9,9,42,9,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,row_major,10,10,42,10,0.9749195624195626,0.9571428571428572,6,0.9749195624195626
breast-w,row_major,11,11,42,11,0.9749195624195626,0.9428571428571428,6,0.9749195624195626
breast-w,row_major,12,12,42,12,0.9695785070785071,0.95,6,0.9695785070785071
breast-w,row_major,13,13,42,13,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
