dataset,optimizer,seed,eval,best_so_far
qsar-biodeg,pso,0,27,0.8934065934065935
qsar-biodeg,pso,0,28,0.8934065934065935
qsar-biodeg,pso,0,29,0.8934065934065935
qsar-biodeg,pso,0,30,0.8993237531699071
qsar-biodeg,pso,0,31,0.8993237531699071
qsar-biodeg,pso,0,32,0.8993237531699071
qsar-biodeg,pso,0,33,0.8993237531699071
qsar-biodeg,pso,0,34,0.8993237531699071
qsar-biodeg,pso,0,35,0.8993237531699071
qsar-biodeg,pso,0,36,0.8993237531699071
qsar-biodeg,pso,0,37,0.8993237531699071
qsar-biodeg,pso,0,38,0.8993237531699071
qsar-biodeg,pso,0,39,0.8993237531699071
qsar-biodeg,pso,0,40,0.8993237531699071
qsar-biodeg,pso,0,41,0.8993237531699071
qsar-biodeg,pso,0,42,0.8993237531699071
qsar-biodeg,pso,0,43,0.8993237531699071
qsar-biodeg,pso,0,44,0.8993237531699071
qsar-biodeg,pso,0,45,0.8993237531699071
qsar-biodeg,pso,0,46,0.8993237531699071
qsar-biodeg,pso,0,47,0.8993237531699071
qsar-biodeg,pso,0,48,0.8993237531699071
qsar-biodeg,pso,0,49,0.8993237531699071
qsar-biodeg,pso,0,50,0.8993237531699071
qsar-biodeg,pso,0,51,0.8993237531699071
qsar-biodeg,pso,0,52,0.8993237531699071
qsar-biodeg,pso,0,53,0.8993237531699071
qsar-biodeg,pso,0,54,0.8993237531699071
qsar-biodeg,pso,0,55,0.8993237531699071
qsar-biodeg,pso,0,56,0.8993237531699071
qsar-biodeg,pso,0,57,0.8993237531699071
qsar-biodeg,pso,0,58,0.8993237531699071
qsar-biodeg,pso,0,59,0.8993237531699071
qsar-biodeg,pso,0,60,0.8993237531699071
qsar-biodeg,pso,0,61,0.8993237531699071
qsar-biodeg,pso,0,62,0.8993237531699071
qsar-biodeg,pso,0,63,0.8993237531699071
qsar-biodeg,pso,0,64,0.8993237531699071
qsar-biodeg,pso,0,65,0.8993237531699071
qsar-biodeg,pso,0,66,0.8993237531699071
qsar-biodeg,pso,0,67,0.8993237531699071
qsar-biodeg,pso,0,68,0.8993237531699071
qsar-biodeg,pso,0,69,0.9005071851225697
qsar-biodeg,pso,0,70,0.9005071851225697
qsar-biodeg,pso,0,71,0.9005071851225697
qsar-biodeg,pso,0,72,0.9005071851225697
qsar-biodeg,pso,0,73,0.9005071851225697
qsar-biodeg,pso,0,74,0.9005071851225697
qsar-biodeg,pso,0,75,0.9005071851225697
qsar-biodeg,pso,0,76,0.9005071851225697
qsar-biodeg,pso,0,77,0.9005071851225697
qsar-biodeg,pso,0,78,0.9005071851225697
qsar-biodeg,pso,0,79,0.9005071851225697
qsar-biodeg,pso,0,80,0.9005071851225697
qsar-biodeg,pso,0,81,0.9005071851225697
qsar-biodeg,pso,0,82,0.9005071851225697
qsar-biodeg,pso,0,83,0.9005071851225697
qsar-biodeg,pso,0,84,0.9005071851225697
qsar-biodeg,pso,0,85,0.9005071851225697
qsar-biodeg,pso,0,86,0.9005071851225697
qsar-biodeg,pso,0,87,0.9005071851225697
qsar-biodeg,pso,0,88,0.9005071851225697
qsar-biodeg,pso,0,89,0.9005071851225697
qsar-biodeg,pso,0,90,0.9005071851225697
qsar-biodeg,pso,0,91,0.9005071851225697
qsar-biodeg,pso,0,92,0.9005071851225697
qsar-biodeg,pso,0,93,0.9005071851225697
qsar-biodeg,pso,0,94,0.9005071851225697
qsar-biodeg,pso,0,95,0.9005071851225697
qsar-biodeg,pso,0,96,0.9005071851225697
qsar-biodeg,pso,0,97,0.9005071851225697
qsar-biodeg,pso,0,98,0.9005071851225697
qsar-biodeg,pso,0,99,0.9005071851225697
qsar-biodeg,pso,0,100,0.9005071851225697
qsar-biodeg,de,0,1,0.8720907297830376
qsar-biodeg,de,0,2,0.8720907297830376
qsar-biodeg,de,0,3,0.8720907297830376
qsar-biodeg,de,0,4,0.8720907297830376
qsar-biodeg,de,0,5,0.8720907297830376
qsar-biodeg,de,0,6,0.8756339814032122
qsar-biodeg,de,0,7,0.8756339814032122
qsar-biodeg,de,0,8,0.8780078895463511
qsar-biodeg,de,0,9,0.8780078895463511
qsar-biodeg,de,0,10,0.8780078895463511
qsar-biodeg,de,0,11,0.8780078895463511
qsar-biodeg,de,0,12,0.8780078895463511
qsar-biodeg,de,0,13,0.880367709213863
qsar-biodeg,de,0,14,0.880367709213863
qsar-biodeg,de,0,15,0.880367709213863
qsar-biodeg,de,0,16,0.8851084812623276
qsar-biodeg,de,0,17,0.8851084812623276
qsar-biodeg,de,0,18,0.8851084812623276
qsar-biodeg,de,0,19,0.8851084812623276
qsar-biodeg,de,0,20,0.8851084812623276
qsar-biodeg,de,0,21,0.8851084812623276
qsar-biodeg,de,0,22,0.8851084812623276
qsar-biodeg,de,0,23,0.8851084812623276
qsar-biodeg,de,0,24,0.8851084812623276
qsar-biodeg,de,0,25,0.8851084812623276
qsar-biodeg,de,0,26,0.8851084812623276
qsar-biodeg,de,0,27,0.8851084812623276
qsar-biodeg,de,0,28,0.8851084812623276
qsar-biodeg,de,0,29,0.8851084812623276
qsar-biodeg,de,0,30,0.8851084812623276
qsar-biodeg,de,0,31,0.8851084812623276
qsar-biodeg,de,0,32,0.8851084812623276
qsar-biodeg,de,0,33,0.8851084812623276
qsar-biodeg,de,0,34,0.8851084812623276
qsar-biodeg,de,0,35,0.8851084812623276
qsar-biodeg,de,0,36,0.8851084812623276
qsar-biodeg,de,0,37,0.8851084812623276
qsar-biodeg,de,0,38,0.8851084812623276
qsar-biodeg,de,0,39,0.8851084812623276
qsar-biodeg,de,0,40,0.8851084812623276
qsar-biodeg,de,0,41,0.8851084812623276
qsar-biodeg,de,0,42,0.8922020287404904
qsar-biodeg,de,0,43,0.8922020287404904
qsar-biodeg,de,0,44,0.8922020287404904
qsar-biodeg,de,0,45,0.8922020287404904
qsar-biodeg,de,0,46,0.8922020287404904
qsar-biodeg,de,0,47,0.8922020287404904
qsar-biodeg,de,0,48,0.8922020287404904
qsar-biodeg,de,0,49,0.8922020287404904
qsar-biodeg,de,0,50,0.8922020287404904
qsar-biodeg,de,0,51,0.8922020287404904
qsar-biodeg,de,0,52,0.8922020287404904
qsar-biodeg,de,0,53,0.8922020287404904
qsar-biodeg,de,0,54,0.8922020287404904
qsar-biodeg,de,0,55,0.8922020287404904
qsar-biodeg,de,0,56,0.8922020287404904
qsar-biodeg,de,0,57,0.8922020287404904
qsar-biodeg,de,0,58,0.8922020287404904
qsar-biodeg,de,0,59,0.8922020287404904
qsar-biodeg,de,0,60,0.8922020287404904
qsar-biodeg,de,0,61,0.8922020287404904
qsar-biodeg,de,0,62,0.8922020287404904
qsar-biodeg,de,0,63,0.8922020287404904
qsar-biodeg,de,0,64,0.8922020287404904
qsar-biodeg,de,0,65,0.8957523245984784
qsar-biodeg,de,0,66,0.8957523245984784
qsar-biodeg,de,0,67,0.8957523245984784
qsar-biodeg,de,0,68,0.8957523245984784
qsar-biodeg,de,0,69,0.8957523245984784
qsar-biodeg,de,0,70,0.8957523245984784
qsar-biodeg,de,0,71,0.8957523245984784
qsar-biodeg,de,0,72,0.8957523245984784
qsar-biodeg,de,0,73,0.8957523245984784
qsar-biodeg,de,0,74,0.8957523245984784
qsar-biodeg,de,0,75,0.8957523245984784
qsar-biodeg,de,0,76,0.8957523245984784
qsar-biodeg,de,0,77,0.8957523245984784
qsar-biodeg,de,0,78,0.8957523245984784
qsar-biodeg,de,0,79,0.8957523245984784
qsar-biodeg,de,0,80,0.8957523245984784
qsar-biodeg,de,0,81,0.8957523245984784
qsar-biodeg,de,0,82,0.8957523245984784
qsar-biodeg,de,0,83,0.8957523245984784
qsar-biodeg,de,0,84,0.8957523245984784
qsar-biodeg,de,0,85,0.8957523245984784
qsar-biodeg,de,0,86,0.8957523245984784
qsar-biodeg,de,0,87,0.8957523245984784
qsar-biodeg,de,0,88,0.8957523245984784
qsar-biodeg,de,0,89,0.8957523245984784
qsar-biodeg,de,0,90,0.8957523245984784
qsar-biodeg,de,0,91,0.8957523245984784
qsar-biodeg,de,0,92,0.8957523245984784
qsar-biodeg,de,0,93,0.8957523245984784
qsar-biodeg,de,0,94,0.8957523245984784
qsar-biodeg,de,0,95,0.8957523245984784
qsar-biodeg,de,0,96,0.8957523245984784
qsar-biodeg,de,0,97,0.8957523245984784
qsar-biodeg,de,0,98,0.8957523245984784
qsar-biodeg,de,0,99,0.8957523245984784
qsar-biodeg,de,0,100,0.8957523245984784
qsar-biodeg,ga,0,1,0.8720907297830376
qsar-biodeg,ga,0,2,0.8720907297830376
qsar-biodeg,ga,0,3,0.8720907297830376
qsar-biodeg,ga,0,4,0.8720907297830376
qsar-biodeg,ga,0,5,0.8720907297830376
qsar-biodeg,ga,0,6,0.8756339814032122
qsar-biodeg,ga,0,7,0.8756339814032122
qsar-biodeg,ga,0,8,0.8780078895463511
qsar-biodeg,ga,0,9,0.8780078895463511
qsar-biodeg,ga,0,10,0.8780078895463511
qsar-biodeg,ga,0,11,0.8780078895463511
qsar-biodeg,ga,0,12,0.8780078895463511
qsar-biodeg,ga,0,13,0.880367709213863
qsar-biodeg,ga,0,14,0.880367709213863
qsar-biodeg,ga,0,15,0.880367709213863
qsar-biodeg,ga,0,16,0.8851084812623276
qsar-biodeg,ga,0,17,0.8851084812623276
qsar-biodeg,ga,0,18,0.8851084812623276
qsar-biodeg,ga,0,19,0.8851084812623276
qsar-biodeg,ga,0,20,0.8851084812623276
qsar-biodeg,ga,0,21,0.8851084812623276
qsar-biodeg,ga,0,22,0.8851084812623276
qsar-biodeg,ga,0,23,0.8862919132149901
qsar-biodeg,ga,0,24,0.8862919132149901
