dataset,optimizer,seed,target,reference,bar,evals_to_target,reached
banknote,de,24,0.98,1.0,0.98,1,True
banknote,de,25,0.9,1.0,0.9,2,True
banknote,de,25,0.95,1.0,0.95,2,True
banknote,de,25,0.98,1.0,0.98,4,True
banknote,de,26,0.9,1.0,0.9,1,True
banknote,de,26,0.95,1.0,0.95,1,True
banknote,de,26,0.98,1.0,0.98,2,True
banknote,de,27,0.9,1.0,0.9,1,True
banknote,de,27,0.95,1.0,0.95,1,True
banknote,de,27,0.98,1.0,0.98,1,True
banknote,de,28,0.9,1.0,0.9,1,True
banknote,de,28,0.95,1.0,0.95,1,True
banknote,de,28,0.98,1.0,0.98,1,True
banknote,de,29,0.9,1.0,0.9,1,True
banknote,de,29,0.95,1.0,0.95,2,True
banknote,de,29,0.98,1.0,0.98,2,True
banknote,ga,0,0.9,1.0,0.9,1,True
banknote,ga,0,0.95,1.0,0.95,1,True
banknote,ga,0,0.98,1.0,0.98,1,True
banknote,ga,1,0.9,1.0,0.9,1,True
banknote,ga,1,0.95,1.0,0.95,1,True
banknote,ga,1,0.98,1.0,0.98,1,True
banknote,ga,2,0.9,1.0,0.9,1,True
banknote,ga,2,0.95,1.0,0.95,2,True
banknote,ga,2,0.98,1.0,0.98,2,True
banknote,ga,3,0.9,1.0,0.9,2,True
banknote,ga,3,0.95,1.0,0.95,2,True
banknote,ga,3,0.98,1.0,0.98,2,True
banknote,ga,4,0.9,1.0,0.9,1,True
banknote,ga,4,0.95,1.0,0.95,1,True
banknote,ga,4,0.98,1.0,0.98,1,True
banknote,ga,5,0.9,1.0,0.9,1,True
banknote,ga,5,0.95,1.0,0.95,1,True
banknote,ga,5,0.98,1.0,0.98,1,True
banknote,ga,6,0.9,1.0,0.9,1,True
banknote,ga,6,0.95,1.0,0.95,1,True
banknote,ga,6,0.98,1.0,0.98,1,True
banknote,ga,7,0.9,1.0,0.9,1,True
banknote,ga,7,0.95,1.0,0.95,1,True
banknote,ga,7,0.98,1.0,0.98,1,True
banknote,ga,8,0.9,1.0,0.9,1,True
banknote,ga,8,0.95,1.0,0.95,1,True
banknote,ga,8,0.98,1.0,0.98,1,True
banknote,ga,9,0.9,1.0,0.9,1,True
banknote,ga,9,0.95,1.0,0.95,1,True
banknote,ga,9,0.98,1.0,0.98,1,True
banknote,ga,10,0.9,1.0,0.9,1,True
banknote,ga,10,0.95,1.0,0.95,1,True
banknote,ga,10,0.98,1.0,0.98,1,True
banknote,ga,11,0.9,1.0,0.9,1,True
banknote,ga,11,0.95,1.0,0.95,1,True
banknote,ga,11,0.98,1.0,0.98,3,True
banknote,ga,12,0.9,1.0,0.9,1,True
banknote,ga,12,0.95,1.0,0.95,1,True
banknote,ga,12,0.98,1.0,0.98,1,True
banknote,ga,13,0.9,1.0,0.9,1,True
banknote,ga,13,0.95,1.0,0.95,1,True
banknote,ga,13,0.98,1.0,0.98,1,True
banknote,ga,14,0.9,1.0,0.9,1,True
banknote,ga,14,0.95,1.0,0.95,1,True
banknote,ga,14,0.98,1.0,0.98,1,True
banknote,ga,15,0.9,1.0,0.9,1,True
banknote,ga,15,0.95,1.0,0.95,1,True
banknote,ga,15,0.98,1.0,0.98,1,True
banknote,ga,16,0.9,1.0,0.9,1,True
banknote,ga,16,0.95,1.0,0.95,1,True
banknote,ga,16,0.98,1.0,0.98,1,True
banknote,ga,17,0.9,1.0,0.9,1,True
banknote,ga,17,0.95,1.0,0.95,1,True
banknote,ga,17,0.98,1.0,0.98,1,True
banknote,ga,18,0.9,1.0,0.9,1,True
banknote,ga,18,0.95,1.0,0.95,1,True
banknote,ga,18,0.98,1.0,0.98,1,True
banknote,ga,19,0.9,1.0,0.9,1,True
banknote,ga,19,0.95,1.0,0.95,1,True
banknote,ga,19,0.98,1.0,0.98,1,True
banknote,ga,20,0.9,1.0,0.9,1,True
banknote,ga,20,0.95,1.0,0.95,1,True
banknote,ga,20,0.98,1.0,0.98,4,True
banknote,ga,21,0.9,1.0,0.9,1,True
banknote,ga,21,0.95,1.0,0.95,1,True
banknote,ga,21,0.98,1.0,0.98,1,True
banknote,ga,22,0.9,1.0,0.9,1,True
banknote,ga,22,0.95,1.0,0.95,2,True
banknote,ga,22,0.98,1.0,0.98,3,True
banknote,ga,23,0.9,1.0,0.9,1,True
banknote,ga,23,0.95,1.0,0.95,1,True
banknote,ga,23,0.98,1.0,0.98,1,True
banknote,ga,24,0.9,1.0,0.9,1,True
banknote,ga,24,0.95,1.0,0.95,1,True
banknote,ga,24,0.98,1.0,0.98,1,True
banknote,ga,25,0.9,1.0,0.9,2,True
banknote,ga,25,0.95,1.0,0.95,2,True
banknote,ga,25,0.98,1.0,0.98,4,True
banknote,ga,26,0.9,1.0,0.9,1,True
banknote,ga,26,0.95,1.0,0.95,1,True
banknote,ga,26,0.98,1.0,0.98,2,True
banknote,ga,27,0.9,1.0,0.9,1,True
banknote,ga,27,0.95,1.0,0.95,1,True
banknote,ga,27,0.98,1.0,0.98,1,True
banknote,ga,28,0.9,1.0,0.9,1,True
banknote,ga,28,0.95,1.0,0.95,1,True
banknote,ga,28,0.98,1.0,0.98,1,True
banknote,ga,29,0.9,1.0,0.9,1,True
banknote,ga,29,0.95,1.0,0.95,2,True
banknote,ga,29,0.98,1.0,0.98,2,True
banknote,grid,0,0.9,1.0,0.9,7,True
banknote,grid,0,0.95,1.0,0.95,7,True
banknote,grid,0,0.98,1.0,0.98,8,True
banknote,grid,1,0.9,1.0,0.9,7,True
banknote,grid,1,0.95,1.0,0.95,7,True
banknote,grid,1,0.98,1.0,0.98,8,True
banknote,grid,2,0.9,1.0,0.9,6,True
banknote,grid,2,0.95,1.0,0.95,7,True
banknote,grid,2,0.98,1.0,0.98,8,True
banknote,grid,3,0.9,1.0,0.9,7,True
banknote,grid,3,0.95,1.0,0.95,7,True
banknote,grid,3,0.98,1.0,0.98,8,True
banknote,grid,4,0.9,1.0,0.9,6,True
banknote,grid,4,0.95,1.0,0.95,7,True
banknote,grid,4,0.98,1.0,0.98,8,True
banknote,grid,5,0.9,1.0,0.9,7,True
banknote,grid,5,0.95,1.0,0.95,7,True
banknote,grid,5,0.98,1.0,0.98,8,True
banknote,grid,6,0.9,1.0,0.9,6,True
banknote,grid,6,0.95,1.0,0.95,7,True
banknote,grid,6,0.98,1.0,0.98,8,True
banknote,grid,7,0.9,1.0,0.9,6,True
banknote,grid,7,0.95,1.0,0.95,7,True
banknote,grid,7,0.98,1.0,0.98,8,True
banknote,grid,8,0.9,1.0,0.9,6,True
banknote,grid,8,0.95,1.0,0.95,7,True
banknote,grid,8,0.98,1.0,0.98,8,True
banknote,grid,9,0.9,1.0,0.9,7,True
banknote,grid,9,0.95,1.0,0.95,7,True
banknote,grid,9,0.98,1.0,0.98,8,True
banknote,grid,10,0.9,1.0,0.9,6,True
banknote,grid,10,0.95,1.0,0.95,7,True
banknote,grid,10,0.98,1.0,0.98,8,True
banknote,grid,11,0.9,1.0,0.9,6,True
banknote,grid,11,0.95,1.0,0.95,7,True
banknote,grid,11,0.98,1.0,0.98,8,True
banknote,grid,12,0.9,1.0,0.9,6,True
banknote,grid,12,0.95,1.0,0.95,7,True
banknote,grid,12,0.98,1.0,0.98,8,True
banknote,grid,13,0.9,1.0,0.9,6,True
banknote,grid,13,0.95,1.0,0.95,7,True
banknote,grid,13,0.98,1.0,0.98,8,True
banknote,grid,14,0.9,1.0,0.9,6,True
banknote,grid,14,0.95,1.0,0.95,7,True
banknote,grid,14,0.98,1.0,0.98,8,True
banknote,grid,15,0.9,1.0,0.9,7,True
banknote,grid,15,0.95,1.0,0.95,7,True
banknote,grid,15,0.98,1.0,0.98,8,True
banknote,grid,16,0.9,1.0,0.9,6,True
banknote,grid,16,0.95,1.0,0.95,7,True
banknote,grid,16,0.98,1.0,0.98,8,True
banknote,grid,17,0.9,1.0,0.9,6,True
banknote,grid,17,0.95,1.0,0.95,7,True
banknote,grid,17,0.98,1.0,0.98,8,True
banknote,grid,18,0.9,1.0,0.9,6,True
banknote,grid,18,0.95,1.0,0.95,7,True
banknote,grid,18,0.98,1.0,0.98,8,True
banknote,grid,19,0.9,1.0,0.9,6,True
banknote,grid,19,0.95,1.0,0.95,7,True
banknote,grid,19,0.98,1.0,0.98,8,True
banknote,grid,20,0.9,1.0,0.9,7,True
banknote,grid,20,0.95,1.0,0.95,7,True
banknote,grid,20,0.98,1.0,0.98,8,True
banknote,grid,21,0.9,1.0,0.9,7,True
banknote,grid,21,0.95,1.0,0.95,7,True
banknote,grid,21,0.98,1.0,0.98,8,True
banknote,grid,22,0.9,1.0,0.9,6,True
banknote,grid,22,0.95,1.0,0.95,7,True
banknote,grid,22,0.98,1.0,0.98,8,True
banknote,grid,23,0.9,1.0,0.9,6,True
banknote,grid,23,0.95,1.0,0.95,7,True
banknote,grid,23,0.98,1.0,0.98,8,True
banknote,grid,24,0.9,1.0,0.9,6,True
banknote,grid,24,0.95,1.0,0.95,7,True
banknote,grid,24,0.98,1.0,0.98,8,True
banknote,grid,25,0.9,1.0,0.9,7,True
banknote,grid,25,0.95,1.0,0.95,7,True
banknote,grid,25,0.98,1.0,0.98,8,True
banknote,grid,26,0.9,1.0,0.9,7,True
banknote,grid,26,0.95,1.0,0.95,7,True
banknote,grid,26,0.98,1.0,0.98,8,True
banknote,grid,27,0.9,1.0,0.9,6,True
banknote,grid,27,0.95,1.0,0.95,7,True
banknote,grid,27,0.98,1.0,0.98,8,True
banknote,grid,28,0.9,1.0,0.9,7,True
banknote,grid,28,0.95,1.0,0.95,7,True
banknote,grid,28,0.98,1.0,0.98,8,True
banknote,grid,29,0.9,1.0,0.9,7,True
banknote,grid,29,0.95,1.0,0.95,7,True
banknote,grid,29,0.98,1.0,0.98,8,True
banknote,pso,0,0.9,1.0,0.9,1,True
banknote,pso,0,0.95,1.0,0.95,1,True
banknote,pso,0,0.98,1.0,0.98,1,True
banknote,pso,1,0.9,1.0,0.9,1,True
banknote,pso,1,0.95,1.0,0.95,1,True
banknote,pso,1,0.98,1.0,0.98,1,True
banknote,pso,2,0.9,1.0,0.9,1,True
banknote,pso,2,0.95,1.0,0.95,1,True
banknote,pso,2,0.98,1.0,0.98,1,True
banknote,pso,3,0.9,1.0,0.9,1,True
banknote,pso,3,0.95,1.0,0.95,1,True
banknote,pso,3,0.98,1.0,0.98,1,True
banknote,pso,4,0.9,1.0,0.9,1,True
banknote,pso,4,0.95,1.0,0.95,1,True
banknote,pso,4,0.98,1.0,0.98,1,True
banknote,pso,5,0.9,1.0,0.9,1,True
banknote,pso,5,0.95,1.0,0.95,1,True
banknote,pso,5,0.98,1.0,0.98,1,True
banknote,pso,6,0.9,1.0,0.9,1,True
banknote,pso,6,0.95,1.0,0.95,1,True
banknote,pso,6,0.98,1.0,0.98,1,True
banknote,pso,7,0.9,1.0,0.9,1,True
banknote,pso,7,0.95,1.0,0.95,1,True
banknote,pso,7,0.98,1.0,0.98,1,True
banknote,pso,8,0.9,1.0,0.9,1,True
banknote,pso,8,0.95,1.0,0.95,1,True
banknote,pso,8,0.98,1.0,0.98,1,True
banknote,pso,9,0.9,1.0,0.9,1,True
banknote,pso,9,0.95,1.0,0.95,1,True
banknote,pso,9,0.98,1.0,0.98,1,True
banknote,pso,10,0.9,1.0,0.9,2,True
banknote,pso,10,0.95,1.0,0.95,2,True
banknote,pso,10,0.98,1.0,0.98,2,True
banknote,pso,11,0.9,1.0,0.9,1,True
banknote,pso,11,0.95,1.0,0.95,1,True
banknote,pso,11,0.98,1.0,0.98,1,True
banknote,pso,12,0.9,1.0,0.9,1,True
banknote,pso,12,0.95,1.0,0.95,1,True
banknote,pso,12,0.98,1.0,0.98,1,True
banknote,pso,13,0.9,1.0,0.9,1,True
banknote,pso,13,0.95,1.0,0.95,1,True
banknote,pso,13,0.98,1.0,0.98,1,True
banknote,pso,14,0.9,1.0,0.9,1,True
banknote,pso,14,0.95,1.0,0.95,1,True
banknote,pso,14,0.98,1.0,0.98,1,True
banknote,pso,15,0.9,1.0,0.9,2,True
banknote,pso,15,0.95,1.0,0.95,2,True
banknote,pso,15,0.98,1.0,0.98,2,True
banknote,pso,16,0.9,1.0,0.9,1,True
banknote,pso,16,0.95,1.0,0.95,1,True
banknote,pso,16,0.98,1.0,0.98,1,True
banknote,pso,17,0.9,1.0,0.9,2,True
banknote,pso,17,0.95,1.0,0.95,2,True
banknote,pso,17,0.98,1.0,0.98,3,True
banknote,pso,18,0.9,1.0,0.9,1,True
banknote,pso,18,0.95,1.0,0.95,1,True
banknote,pso,18,0.98,1.0,0.98,1,True
banknote,pso,19,0.9,1.0,0.9,1,True
banknote,pso,19,0.95,1.0,0.95,1,True
banknote,pso,19,0.98,1.0,0.98,2,True
banknote,pso,20,0.9,1.0,0.9,1,True
banknote,pso,20,0.95,1.0,0.95,1,True
banknote,pso,20,0.98,1.0,0.98,2,True
banknote,pso,21,0.9,1.0,0.9,1,True
banknote,pso,21,0.95,1.0,0.95,1,True
banknote,pso,21,0.98,1.0,0.98,1,True
banknote,pso,22,0.9,1.0,0.9,1,True
banknote,pso,22,0.95,1.0,0.95,1,True
banknote,pso,22,0.98,1.0,0.98,1,True
banknote,pso,23,0.9,1.0,0.9,1,True
banknote,pso,23,0.95,1.0,0.95,1,True
banknote,pso,23,0.98,1.0,0.98,3,True
banknote,pso,24,0.9,1.0,0.9,1,True
banknote,pso,24,0.95,1.0,0.95,1,True
banknote,pso,24,0.98,1.0,0.98,1,True
banknote,pso,25,0.9,1.0,0.9,1,True
banknote,pso,25,0.95,1.0,0.95,1,True
banknote,pso,25,0.98,1.0,0.98,2,True
banknote,pso,26,0.9,1.0,0.9,1,True
banknote,pso,26,0.95,1.0,0.95,1,True
banknote,pso,26,0.98,1.0,0.98,1,True
banknote,pso,27,0.9,1.0,0.9,1,True
banknote,pso,27,0.95,1.0,0.95,1,True
