dataset,optimizer,seed,eval,best_so_far
steel-faults,pso,0,87,0.7525733845036822
steel-faults,pso,0,88,0.7525733845036822
steel-faults,pso,0,89,0.7525733845036822
steel-faults,pso,0,90,0.7525733845036822
steel-faults,pso,0,91,0.7525733845036822
steel-faults,pso,0,92,0.7525733845036822
steel-faults,pso,0,93,0.7525733845036822
steel-faults,pso,0,94,0.7525733845036822
steel-faults,pso,0,95,0.7525733845036822
steel-faults,pso,0,96,0.7525733845036822
steel-faults,pso,0,97,0.7525733845036822
steel-faults,pso,0,98,0.7525733845036822
steel-faults,pso,0,99,0.7525733845036822
steel-faults,pso,0,100,0.7525733845036822
steel-faults,de,0,1,0.7248708640182553
steel-faults,de,0,2,0.7248708640182553
steel-faults,de,0,3,0.7248708640182553
steel-faults,de,0,4,0.7300321543408359
steel-faults,de,0,5,0.7300321543408359
steel-faults,de,0,6,0.7300321543408359
steel-faults,de,0,7,0.7300321543408359
steel-faults,de,0,8,0.7300321543408359
steel-faults,de,0,9,0.7300321543408359
steel-faults,de,0,10,0.7300321543408359
steel-faults,de,0,11,0.7300321543408359
steel-faults,de,0,12,0.7300321543408359
steel-faults,de,0,13,0.7384068042734155
steel-faults,de,0,14,0.7384068042734155
steel-faults,de,0,15,0.7384068042734155
steel-faults,de,0,16,0.7384068042734155
steel-faults,de,0,17,0.7384068042734155
steel-faults,de,0,18,0.7384068042734155
steel-faults,de,0,19,0.7384068042734155
steel-faults,de,0,20,0.7384068042734155
steel-faults,de,0,21,0.7384068042734155
steel-faults,de,0,22,0.7384068042734155
steel-faults,de,0,23,0.7384068042734155
steel-faults,de,0,24,0.7384068042734155
steel-faults,de,0,25,0.7384068042734155
steel-faults,de,0,26,0.7384068042734155
steel-faults,de,0,27,0.7384068042734155
steel-faults,de,0,28,0.7403381391971787
steel-faults,de,0,29,0.7403381391971787
steel-faults,de,0,30,0.7403381391971787
steel-faults,de,0,31,0.7403381391971787
steel-faults,de,0,32,0.7403381391971787
steel-faults,de,0,33,0.7403381391971787
steel-faults,de,0,34,0.7403381391971787
steel-faults,de,0,35,0.7403381391971787
steel-faults,de,0,36,0.7403381391971787
steel-faults,de,0,37,0.7403381391971787
steel-faults,de,0,38,0.7448501192822322
steel-faults,de,0,39,0.7448501192822322
steel-faults,de,0,40,0.7448501192822322
steel-faults,de,0,41,0.7448501192822322
steel-faults,de,0,42,0.7448501192822322
steel-faults,de,0,43,0.7448501192822322
steel-faults,de,0,44,0.7448501192822322
steel-faults,de,0,45,0.7448501192822322
steel-faults,de,0,46,0.7448501192822322
steel-faults,de,0,47,0.7448501192822322
steel-faults,de,0,48,0.7448501192822322
steel-faults,de,0,49,0.7448501192822322
steel-faults,de,0,50,0.7448501192822322
steel-faults,de,0,51,0.7448501192822322
steel-faults,de,0,52,0.7448501192822322
steel-faults,de,0,53,0.7448501192822322
steel-faults,de,0,54,0.7448501192822322
steel-faults,de,0,55,0.7448501192822322
steel-faults,de,0,56,0.7448501192822322
steel-faults,de,0,57,0.7448501192822322
steel-faults,de,0,58,0.7448501192822322
steel-faults,de,0,59,0.7448501192822322
steel-faults,de,0,60,0.7448501192822322
steel-faults,de,0,61,0.7448501192822322
steel-faults,de,0,62,0.7448501192822322
steel-faults,de,0,63,0.7448501192822322
steel-faults,de,0,64,0.7448501192822322
steel-faults,de,0,65,0.7448501192822322
steel-faults,de,0,66,0.7448501192822322
steel-faults,de,0,67,0.7448501192822322
steel-faults,de,0,68,0.7448501192822322
steel-faults,de,0,69,0.7448501192822322
steel-faults,de,0,70,0.7448501192822322
steel-faults,de,0,71,0.7448501192822322
steel-faults,de,0,72,0.7448501192822322
steel-faults,de,0,73,0.7448501192822322
steel-faults,de,0,74,0.7448501192822322
steel-faults,de,0,75,0.746132143968468
steel-faults,de,0,76,0.746132143968468
steel-faults,de,0,77,0.746132143968468
steel-faults,de,0,78,0.746132143968468
steel-faults,de,0,79,0.746132143968468
steel-faults,de,0,80,0.746132143968468
steel-faults,de,0,81,0.746132143968468
steel-faults,de,0,82,0.746132143968468
steel-faults,de,0,83,0.746132143968468
steel-faults,de,0,84,0.746132143968468
steel-faults,de,0,85,0.7480572554714241
steel-faults,de,0,86,0.7480572554714241
steel-faults,de,0,87,0.7480572554714241
steel-faults,de,0,88,0.7480572554714241
steel-faults,de,0,89,0.7480572554714241
steel-faults,de,0,90,0.7480572554714241
steel-faults,de,0,91,0.7480572554714241
steel-faults,de,0,92,0.7480572554714241
steel-faults,de,0,93,0.7480572554714241
steel-faults,de,0,94,0.7480572554714241
steel-faults,de,0,95,0.7480572554714241
steel-faults,de,0,96,0.7480572554714241
steel-faults,de,0,97,0.7480572554714241
steel-faults,de,0,98,0.7480572554714241
steel-faults,de,0,99,0.7480572554714241
steel-faults,de,0,100,0.7480572554714241
steel-faults,ga,0,1,0.7248708640182553
steel-faults,ga,0,2,0.7248708640182553
steel-faults,ga,0,3,0.7248708640182553
steel-faults,ga,0,4,0.7300321543408359
steel-faults,ga,0,5,0.7300321543408359
steel-faults,ga,0,6,0.7300321543408359
steel-faults,ga,0,7,0.7300321543408359
steel-faults,ga,0,8,0.7300321543408359
steel-faults,ga,0,9,0.7300321543408359
steel-faults,ga,0,10,0.7300321543408359
steel-faults,ga,0,11,0.7300321543408359
steel-faults,ga,0,12,0.7300321543408359
steel-faults,ga,0,13,0.7384068042734155
steel-faults,ga,0,14,0.7384068042734155
steel-faults,ga,0,15,0.7384068042734155
steel-faults,ga,0,16,0.7384068042734155
steel-faults,ga,0,17,0.7384068042734155
steel-faults,ga,0,18,0.7384068042734155
steel-faults,ga,0,19,0.7384068042734155
steel-faults,ga,0,20,0.7384068042734155
steel-faults,ga,0,21,0.7384068042734155
steel-faults,ga,0,22,0.7384068042734155
steel-faults,ga,0,23,0.7416346851986308
steel-faults,ga,0,24,0.7416346851986308
steel-faults,ga,0,25,0.7416346851986308
steel-faults,ga,0,26,0.7416346851986308
steel-faults,ga,0,27,0.7416346851986308
